index	input	target
27297	hai, naomi, ini joel.	hai
27325	clementine.	itu caramu untukku.
27331	itu mereka.	sudah terlambat .
27344	Anda harus menghentikan ini!	apa ? apa maksudmu ?
27354	kita akan segera bicara.	'malam.
27369	sudah beberapa tahun yang sangat sepi.	Maafkan saya .
27375	jadi kamu tidak keberatan?	Saya harus menyelesaikan bab ini.
27379	hai, rob dan carrie.	kembali tidur.
27382	hai	bagaimana itu ?
27383	hai	hai
27399	pastinya !	Saya pikir dia akan berada di bartlett suatu hari nanti.
27418	tidak ada .	saya tahu apa itu.
27422	hai	apa yang kamu inginkan, stan?
27423	oh .	hai
27430	bahagia. senang dengan sebuah rahasia.	dan setelah itu ?
27436	apakah kamu bersumpah kamu tidak tahu?	aku bersumpah .
27437	hei	apakah kamu bersumpah kamu tidak tahu?
27439	Anda lebih baik pergi.	tidak .
27440	dia datang ?	Anda lebih baik pergi.
27453	berhenti.	apa ?
27459	biarkan dia pergi, stan. saya dapat membantu .	pergi
27486	Anda membuat saya melakukan aborsi.	itu adalah keputusan bersama.
27487	saya punya keluarga, mary.	Anda membuat saya melakukan aborsi.
27503	itu bukan masalah besar.	kamu seperti kekasih.
27514	apakah kamu suka kutipan, howard?	bagaimana maksudmu ?
27519	terima kasih.	selamat datang, howard.
27520	selada cole, teh es?	terima kasih.
27522	iya nih ?	memesan saya pastrami untuk setelah?
27523	mary. . .	iya nih ?
27525	howard, jammu.	terima kasih, mary. kamu bisa membawanya masuk
27527	yesus baiklah, apa alamatnya.	1062 sherman drive. apartemen 1e, pusat rockville.
27529	baik, di mana patrick?	dia pulang ke rumah sakit.
27539	jadi, aku harus mengeluarkan vannya.	terima kasih, stan. terima kasih.
27543	howard, mereka menghilang lagi.	Oh sayang .
27547	apakah kamu mencoba melewati gerbang-c?	ya tentu saja .
27548	saya sudah mencobanya.	apakah kamu mencoba melewati gerbang-c?
27550	mary. apa yang kamu lakukan di sini ?	dia datang untuk membantu, howard.
27566	apa bartlett Anda?	itu adalah buku kutipan.
27568	mungkin jika Anda berhenti mencuri celana mereka.	oke, masih ada lagi, stan -
27583	yah?	hanya ingin kamu tahu .
27589	Apakah itu membantu ?	ya, itu terlihat lebih baik. terima kasih.
27590	kemudian periksa koneksi.	Apakah itu membantu ?
27591	voltase terlihat baik-baik saja.	kemudian periksa koneksi.
27600	dia punya tiket sekali jalan ke kota kansas.	Anda berarti dia sudah mati?
27606	apa yang Anda yakini saat itu?	ha ha ho ho dan hee hee
27616	jam kerja.	jam kerja?
27617	apa itu tadi ?	jam kerja.
27623	aku adalah teman bonanza jellybean.	saya tahu siapa anda.
27630	bukan saya .	kamu tidak?
27633	di mana Anda tinggal, lewatkan hankshaw?	aku tinggal dengan countess.
27638	tidak, saya kira tidak.	'Dibius' adalah kata bodoh.
27658	Beritahu aku tentang itu .	tentang. . .
27666	chink adalah nama pria itu, demi Kristus.	pria apa?
27674	apa yang kamu pikirkan ?	baiklah. . . . adalah. . .
27675	seperti apa ?	apa yang kamu pikirkan ?
27676	bagaimana dia suka apa di tempat tidur?	seperti apa ?
27687	saya harus pergi, julian.	kenapa? kenapa kamu harus pergi?
27690	apa yang sedang kamu lakukan ?	berpakaian . Saya harus pergi .
27693	saya dingin, saya flu .	disini saya akan mematikan AC.
27698	aku yang terbaik .	kamu yang terbaik ?
27699	menumpang?	aku yang terbaik .
27700	ya.	menumpang?
27701	jadi sekarang kamu bummin 'sekitar?	ya.
27704	Saya pernah menjadi model yang sukses.	untuk majalah?
27705	apakah kamu dalam bisnis pertunjukan?	Saya pernah menjadi model yang sukses.
27706	keju Amerika . raja makanan jalanan.	apakah kamu dalam bisnis pertunjukan?
27707	terima kasih.	keju Amerika . raja makanan jalanan.
27708	Anda bertaruh pantat putih Anda compang-camping saya.	terima kasih.
27709	pergi ke utara?	Anda bertaruh pantat putih Anda compang-camping saya.
27733	bonanza jellybean ?	apa ? Oh ya . Tee hee . Jelly Bean .
27744	justin?	Saya rasa saya menemukan sesuatu . . .
27745	sial. . .	justin?
27749	. . .Apakah Anda menyalin?	uh, ya kawan, aku masih di sini.
27755	itu berarti rahasia, kooperatif.	saya mendengarnya .
27759	apakah itu akan berhasil?	itu berhasil untuk bendung. menyiapkan tank.
27763	kapten miller, kami siap untuk menindas clark.	dalam perjalanan .
27765	tapi justin. . .	aku akan menangkapnya.
27767	penahanan, penahanan kedua. . .	tunggu, kandang. . .
27768	kandang, di mana kamu. . .	penahanan, penahanan kedua. . .
27769	kita memiliki seorang pria. . .	kandang, di mana kamu. . .
27781	waktu untuk bermain spam di dapat.	jangan mulai dengan saya, cooper.
27783	smith, bersihkan airlock itu, man, aku masuk.	diterima .
27799	saya tidak tahu apa yang terjadi pada justin.	Aku memberitahumu, aku melihatnya. . .
27802	tidak, dia tidak.	kamu tidak ada di sana. saya melihatnya .
27807	kopi .	tidak terima kasih .
27808	apa ?	kopi .
27811	apa . . . ?	lari!
27813	Aku akan mengaktifkan suar darurat.	cepatlah
27820	biarkan aku bernafas, biarkan aku bernafas. . .	Anda baik-baik saja sekarang, sudah berakhir. . .
27824	apakah itu tawaran?	bukan itu .
27826	silahkan . . . bunuh. . .	ya Tuhan . . .
27836	apakah kamu mendengarnya? disana .	dengar apa?
27843	tidak .	apa itu ?
27864	90 lebih dari 50 dan jatuh. . . .	dia jatuh. . .
27865	tekanan?	90 lebih dari 50 dan jatuh. . . .
27866	Saya punya denyut nadi, dia hidup. . .	tekanan?
27870	apa yang terjadi . . . ?	menguras daya -
27872	apa yang salah ?	tidak ada . tidak apa .
27889	apakah dia tahu itu?	apa yang sedang kamu pikirkan ?
27897	oh my god oh my god. . .	starck!
27902	apa itu?	kegelapan di dalam diriku.
27912	bagaimana kamu tahu semua ini?	saya membangunnya.
27919	justin.	juragan, kamu harus membantu saya. . .
27920	tempelkan aku padanya.	justin.
27926	semuanya berwarna hijau di papan saya, juragan.	mulai hitungan mundur.
27941	itu negatif, Starck.	justin.
27948	. . .Anda baik-baik saja ?	ya saya - saya baik-baik saja.
27949	peters. . .	. . .Anda baik-baik saja ?
27950	juragan . .	peters. . .
27951	Dapatkah seseorang mendengar ku . . .	juragan . .
27953	. . . bagaimana kliennya?	mengkristal.
27956	hidup?	beku.
27957	saya menemukan satu.	hidup?
27961	baik . saya di jembatan.	apa yang kamu dapat, peters?
27963	darah berasal dari suatu tempat, peter. . .	tidak ada seorang pun di sini, juragan.
27965	saya bisa melihat palka.	Starck, kamu masih menunjukkan pembacaan itu?
27980	Anda tidak bisa memilikinya. pergi ke neraka .	nooo!
27990	Apakah kamu ?	kamu tahu .
27993	bendung mati.	lalu siapa kamu?
28005	kamu . . . kamu tidak bisa melakukan itu!	Lihat aku .
28014	sedang pergi .	Anda tidak bisa, pesanan Anda spesifik. . .
28043	komputer horizon acara berpikir itu 2034.	ini 2041. . .
28044	bagaimana dengan itu?	komputer horizon acara berpikir itu 2034.
28045	tanggal .	bagaimana dengan itu?
28046	kamu memiliki sesuatu, dr. bendung?	tanggal .
28051	jika berhasil.	jika berhasil, ya.
28064	tidak ada siapa-siapa?	mereka kosong, dr. bendung bergerak kedepan .
28065	negatif.	tidak ada siapa-siapa?
28066	ada yang selamat?	negatif.
28093	dimana itu, dimana itu. . .	smith? smith! bercinta!
28094	keluar dari sana sekarang!	dimana itu, dimana itu. . .
28099	smith, keluar dari sana. . .	datang lagi, nakhoda?
28102	juragan . .	apa itu, smith?
28106	Kapten, kami mendapat masalah.	sekarang apa ?
28107	Terima kasih .	Kapten, kami mendapat masalah.
28116	kapten miller, kamu menyalin?	aku di sini, pandai besi, bagaimana kabar?
28123	apakah kita memiliki cukup waktu untuk lasan?	kita tidak punya waktu untuk kentut.
28125	pandai besi, dari mana saja kamu? !	kami memiliki situasi di sini. . .
28126	kapten miller. . .	pandai besi, dari mana saja kamu? !
28128	sekarang . kami terkunci.	starck, beri saya membaca.
28136	kita punya beberapa cuaca.	saya perhatikan . starck, ada orang di rumah?
28138	ya pak .	dr. bendung . . !
28150	yesus . .	apa itu ?
28154	bendung	dia meninggal . . .
28159	Aku akan melakukannya --	tidak . aku akan segera kembali .
28162	hancurkan keparat itu.	Ledakkan itu ?
28166	bendung tidak bisa hidup.	apa pun yang ada di jembatan itu bukan bendung.
28174	justin di airlock.	apa ?
28175	apa yang terjadi di sana, Starck?	justin di airlock.
28176	miller, masuklah. . .	apa yang terjadi di sana, Starck?
28191	saya punya teori.	lanjutkan .
28195	miller. . .	ada apa, Starck?
28198	tidak . itu orang lain.	siapa ?
28199	mungkin salah satu kru asli?	tidak . itu orang lain.
28213	oksigen bukanlah masalahnya.	karbon dioksida ?
28214	berapa banyak oh-dua yang kita miliki?	oksigen bukanlah masalahnya.
28217	rasanya tidak enak.	tapi kamu bisa bernafas.
28220	semuanya baik-baik saja?	kita semua di sini.
28222	itu sebuah penegasan.	buka matamu.
28225	ada yang salah dengan bio-scan.	gangguan radiasi?
28230	Starck, mengapa kamu tidak di jembatan?	saya baru saja selesai mengeringkan. . .
28239	tidak . Saya tidak melihat apapun .	aku melakukannya .
28241	bisakah kamu melihat tubuh?	tidak ada seorang pun di sini.
28242	darah . tampak seperti semprotan arterial.	bisakah kamu melihat tubuh?
28252	dia melayani di goliat.	bukankah kapal itu hancur?
28253	dia sudah melewati mars?	dia melayani di goliat.
28256	pertama kalinya di sofa gravitasi?	iya nih .
28258	ini dingin .	saya tidak peduli.
28259	kamu punya kopi?	ini dingin .
28263	hampir mendapatkannya.	ayolah, sayang, buka pintu ini. . .
28265	membuatnya tetap berbicara.	kamu tahu apa itu?
28266	iya nih . ya, justin, kami mendengarnya.	membuatnya tetap berbicara.
28268	dia terlibat pengabaian.	bisakah kamu mematikannya?
28270	tidak ada seorang pun di koridor kecuali kita.	tidak sesuai dengan komputer.
28277	sirkuit keselamatan gagal!	kami kehilangan atmosfer. . .
28285	dimana dia ?	mati depan, 5000 meter.
28291	dapatkan kembali -	Saya mencoba, sialan -
28292	miller, apakah Anda membaca saya, peters -	dapatkan kembali -
28294	dekompresi eksplosif.	dekompresi tidak akan melakukan itu.
28295	apa yang terjadi pada matanya?	dekompresi eksplosif.
28307	30 jam ke orbit neptune.	semua papan berwarna hijau, semuanya lima kali lima.
28314	apa itu ?	airlock maju.
28315	aku baik-baik saja . silahkan .	apa itu ?
28318	apa yang sedang kamu lakukan ?	itu menginginkan saya. saya harus pergi .
28325	claire adalah istrimu?	iya nih .
28333	apa itu ?	log kapal.
28350	Saya tidak benar-benar berpakaian untuk pesta.	santai, santai saja.
28352	bagaimana kamu tahu itu aku?	saya buta, tidak tuli. mau masuk?
28359	saya tidak akan tahu apa-apa tentang itu.	maksudku . . .
28365	dimanakah buluh itu?	pemenang pasti membawanya.
28372	oh, dia melakukannya.	apa yang dia lakukan pada seragam? !
28373	dia tidak.	oh, dia melakukannya.
28395	ben, masuklah.	apa ini ? dimana buluh?
28399	apa yang kamu lakukan di sini ?	Aku mengkhawatirkanmu .
28401	apa yang kamu inginkan, sayang?	saya sudah mendapatkannya. semua yang saya inginkan.
28428	ya Anda tidak ingin tahu detailnya.	ben, aku takut aku harus bertanya -
28433	kami mengalami tahun yang berat.	ya, sembilan tahun berturut-turut.
28436	apa yang -!	ben. Apakah kamu baik-baik saja ?
28440	dia pintar, kuat, sukses -	yah mungkin kamu harus berkencan dengannya.
28444	ya, kamu dan debbie dan sempurna -	buluh, saya tidak berbicara tentang debbie.
28453	saya belum selesai menata bunga Anda, orang bodoh.	ben. ini serius . berputar .
28455	perisai di stasiun harus melindungi kita.	seharusnya?
28459	bukankah itu ucapanmu?	dia membuat beberapa perubahan.
28461	saya memilikinya pada jam empat.	ini menghasilkan lima.
28462	lima kali .	saya memilikinya pada jam empat.
28499	membuat pikiran kecilmu tenang.	tidakkah kamu berkeliaran, nak.
28503	'tentu tidak . bisnis ketat.	ya, baik, matanya mengatakan berbeda.
28521	jangan ini lagi --	tidak: kamu terbakar!
28523	satu tetes mata air terakhir untuk layanan kamar.	kamu terbakar!
28524	Saya pikir kami membahas ini.	satu tetes mata air terakhir untuk layanan kamar.
28525	tetap benar. kiri adalah masalah.	Saya pikir kami membahas ini.
28531	begitu juga kamu!	Maksud saya, Anda merasa sedikit demam.
28532	kamu seksi!	begitu juga kamu!
28537	johnny. supernova.	tetapi semua orang ini. . .
28561	ini salah dalam banyak hal.	Anda telah bekerja.
28565	awan telah mengubah dna kita secara mendasar.	keren . apa yang terjadi pada kalian?
28566	sekarang ada apa dengan itu?	awan telah mengubah dna kita secara mendasar.
28568	dia tidak responsif -	Saya! Saya!
28575	maafkan saya, sis, karena meninggalkan kalian -	tidak, maafkan aku, karena mendorongmu keluar.
28584	kalian berdua butuh waktu istirahat.	blockhead memulainya!
28588	saya sedang mengemudi.	bung. itu saudara perempuan saya.
28599	apa benda itu?	saya pikir hal itu ben.
28635	saya menemukan paking yang rusak, dari luar angkasa -	sebuah paking? buluh, kita ada di pesta.
28700	uh, menuntut. . . ? saya tidak bisa.	apa ? apa maksudmu kamu -
28704	yang ?	gairah.
28710	merasa lebih baik ?	ya terima kasih .
28722	Anda, Anda, maksud saya, bagaimana kabarmu?	tidak pernah lebih baik .
28741	ayo, ben, ayolah. . .	buluh, kita kehabisan waktu.
28777	apa yang sedang kamu lakukan ?	mengangkat perisai.
28784	terkejut saya setuju dengan proposal buluh?	saya mengerti alasan bisnis.
28811	berapa biayanya?	jangan khawatir tentang itu.
28812	tentu saja .	berapa biayanya?
28815	mudah, mon.	nanti.
28817	pintu pertama di sebelah kiri Anda!	itu ada !
28818	di langkan?	pintu pertama di sebelah kiri Anda!
28820	saya tidak dapat menemukannya, mon!	Ini pintu pertama di sebelah kiri Anda!
28823	lanjutkan . buat saja cepat.	sepenuhnya.
28831	begini cara saya berpakaian sepanjang waktu.	tetapi Anda melepas seragam kapten kidd Anda.
28844	tidak .	Baiklah kalau begitu . itu rahasiamu.
28845	kamu tidak akan memberitahuku, kan?	tidak .
28855	Apakah kamu masih perawan ?	mungkin ya . mungkin tidak .
28857	saya tidak mengatakan itu.	tetapi wajahmu melakukannya!
28858	kamu perawan!	saya tidak mengatakan itu.
28860	saya tidak tahu. saya penasaran .	mungkin ya . mungkin tidak .
28861	kenapa?	saya tidak tahu. saya penasaran .
28867	dimana kamu dengar itu?	aku hanya menebak.
28868	kenapa? karena dia tidak akan tidur denganmu?	dimana kamu dengar itu?
28882	jangan memaksakan diri.	brad! apakah ibu atau ayah melihat ini?
28883	saya membuang sampah.	jangan memaksakan diri.
28889	kami. sejarah. Bapak . tangan.	hei-yo
28894	ya pak .	Anda dipecat .
28909	tinggalkan aku sendiri .	kata ayah!
28911	tinggalkan aku sendiri !	Ayah bilang kau telat lagi, dasar buttole!
28913	Ayah bilang kamu harus bangun!	ugh.
28925	tarik itu kembali .	baiklah, saya ambil kembali.
28941	Maafkan saya . aku sangat menyesal .	apa yang salah ?
28943	apa ? Apakah kamu baik-baik saja ?	Saya pikir kami membuat banyak suara.
28949	kenapa kamu tidak melepas bajumu, mike?	kamu duluan.
28950	tidak . kamu gila ?	kenapa kamu tidak melepas bajumu, mike?
28951	begitu juga kamu. apakah kamu gemetar?	tidak . kamu gila ?
28952	Anda seorang pencium yang benar-benar baik.	begitu juga kamu. apakah kamu gemetar?
28956	apakah kamu benar-benar perawan?	Ayolah . . .
28962	saya tahu seperti apa saya.	apakah kamu ingin berenang cepat?
28967	apakah kamu punya es teh?	yakin . masuklah .
28979	senang bertemu denganmu, stacy.	senang bertemu denganmu .
28998	tidak ada damone. saya tidak mengerti.	Dia sebenarnya bukan pacarmu.
29017	saya	Damone. itu tandanya.
29027	hei, tikus.	yah?
29039	saya akan . ya	benarkah?
29043	apakah kamu mendapatkan namanya?	tidak . ini terlalu cepat .
29044	tidak .	apakah kamu mendapatkan namanya?
29046	dia di kelas biologi saya.	apakah Anda mendapatkan nomor teleponnya?
29049	itu pasti ibumu.	Damone, kamu harus dengarkan aku.
29056	tidak jika Anda berusia di atas enam belas tahun.	baik . terima kasih banyak, linda.
29057	dan mereka tidak memanggil orang tuaku?	tidak jika Anda berusia di atas enam belas tahun.
29061	apakah kamu linda barrett?	iya nih .
29065	apakah kamu akan mengendarai gelombang itu?	sepenuhnya.
29067	siapa itu ?	itu aku, merv.
29068	mempesona.	siapa itu ?
29094	mereka bersama kita.	mobil kakakku!
29095	itu sekelompok atlet di granada!	mereka bersama kita.
29100	payudara suzanne somers '.	Baiklah .
29101	tidak ada. ada gunanya?	payudara suzanne somers '.
29102	melihat playboy baru?	tidak ada. ada gunanya?
29103	Maka jangan repot-repot.	melihat playboy baru?
29104	dia adalah .	Maka jangan repot-repot.
29113	tapi apa yang akan kamu lakukan?	baik saya mungkin pergi ke Dartmouth.
29115	beberapa waktu ?	ya, seperti mungkin tidak pernah.
29119	dimana doug?	dia tidak datang.
29122	apa yang kamu inginkan ?	saya ingin romansa.
29130	bajingan kecil itu.	saya membayar untuk itu dan semuanya.
29143	menurutmu apa itu?	itu tidak mungkin.
29144	menurutmu apa itu?	menurutmu apa itu?
29156	apa yang kamu pikirkan ?	Saya pikir mereka berdua perawan.
29159	saya tidak tahu. tiga puluh hingga empat puluh menit.	Apa yang kamu lakukan di chicago?
29160	Berapa lama waktu yang dibutuhkan?	saya tidak tahu. tiga puluh hingga empat puluh menit.
29163	apakah itu pernah terjadi?	tidak . tapi itu ide yang bagus.
29164	klimaks bersama.	apakah itu pernah terjadi?
29167	bukankah penis dan bola adalah kategori yang sama?	kamu benar . mungkin penis, mulut, dan leher.
29168	oke, penis, itu satu, bola. . .	bukankah penis dan bola adalah kategori yang sama?
29182	Saya kira ron belum menelepon.	tidak sejak november.
29192	ayo, linda. itu hanya seks.	hei! itu kalimat saya!
29195	Anda akan selalu ingat pertama kali Anda.	Itu Bagus .
29197	apakah itu hebat?	itu baik-baik saja.
29201	saya tidak pernah melakukannya.	tidak ada apa-apa.
29202	apa masalahnya ?	saya tidak pernah melakukannya.
29203	seperti, Anda tahu, memberikan pekerjaan pukulan.	apa masalahnya ?
29204	variabel apa?	seperti, Anda tahu, memberikan pekerjaan pukulan.
29235	bagaimana kabarmu .	Menurutmu pria itu lucu?
29237	aloha, mr. tangan!	aloha, spicoli.
29238	Baiklah ! Oh ya !	aloha, mr. tangan!
29239	jangan khawatir, spikoli. Anda mungkin akan mencicit.	Baiklah ! Oh ya !
29240	Anda akan gagal saya? !	jangan khawatir, spikoli. Anda mungkin akan mencicit.
29241	jika kamu lulus.	Anda akan gagal saya? !
29253	apakah kamu ingin duduk di sana, jeff?	saya tidak tahu. saya rasa begitu .
29254	apakah saya melakukan kesalahan, mr. tangan?	apakah kamu ingin duduk di sana, jeff?
29270	aku tidak bisa datang tepat waktu.	maksudmu, kamu tidak bisa? atau kamu tidak mau?
29274	iya nih .	Hai kawan . apa masalah Anda ?
29275	Anda baru saja merobek kartu saya menjadi dua!	iya nih .
29276	itulah nama yang mereka berikan padaku.	Anda baru saja merobek kartu saya menjadi dua!
29277	Bapak . spicoli?	itulah nama yang mereka berikan padaku.
29280	benarkah?	Bolehkah saya masuk ?
29283	ya Saya terdaftar untuk kelas ini.	kelas apa ?
29285	apakah ini pertama kalinya bagimu?	iya nih .
29286	tidak . maksud saya kembali ke rumah Anda.	apakah ini pertama kalinya bagimu?
29287	bagaimana dengan orang-orang lain yang tinggal bersama Anda?	tidak . maksud saya kembali ke rumah Anda.
29288	Saya pikir saya lebih baik membawamu pulang.	bagaimana dengan orang-orang lain yang tinggal bersama Anda?
29289	iya nih . . . saya benar-benar sembilan belas tahun.	Saya pikir saya lebih baik membawamu pulang.
29290	apakah kamu benar-benar sembilan belas tahun?	iya nih . . . saya benar-benar sembilan belas tahun.
29293	terima kasih. Terima kasih banyak .	malam ini sangat hangat.
29294	itu kemeja yang bagus.	terima kasih. Terima kasih banyak .
29295	baiklah, intinya.	itu kemeja yang bagus.
29296	intinya terdengar bagus.	baiklah, intinya.
29297	bagaimana dengan intinya?	intinya terdengar bagus.
29299	kemana Anda ingin pergi?	saya tidak tahu. dimanapun Anda inginkan.
29300	terima kasih. begitu juga Anda .	kemana Anda ingin pergi?
29303	terima kasih telah menjemputku.	tidak masalah .
29305	apa yang bisa saya dapatkan untuk Anda malam ini.	bagaimana dengan nomor teleponmu?
29306	saya tahu, semua orang mengatakan itu.	apa yang bisa saya dapatkan untuk Anda malam ini.
29316	hai, tandai.	hai, stacy. Apa kabar ?
29318	bagaimana dengan catatannya?	Saya akan memberikan Anda catatannya.
29324	ini hari ulang tahun john bonham.	john bonham?
29325	april ke-16 apa?	ini hari ulang tahun john bonham.
29330	. . .aku harus pulang.	apakah kamu benar-benar harus pergi?
29343	baik . yakin . aku akan masuk.	dimana saudaramu ?
29346	apakah kamu ingin masuk ke dalam?	bukankah orang tuamu tertidur?
29355	Apakah kamu baik-baik saja ?	Oh ya .
29356	luar biasa.	Apakah kamu baik-baik saja ?
29357	Saya pikir saya akan memiliki seafood salad khusus.	luar biasa.
29358	apakah kamu tahu apa yang kamu inginkan?	Saya pikir saya akan memiliki seafood salad khusus.
29359	Saya pernah mendengar itu juga.	apakah kamu tahu apa yang kamu inginkan?
29362	ya dia cukup bagus.	ya dia cukup bagus.
29363	apakah Anda punya mrs. george untuk bahasa inggris?	ya dia cukup bagus.
29364	ya ini milik kakakku.	apakah Anda punya mrs. george untuk bahasa inggris?
29366	hal yang pasti.	ini mobil yang bagus.
29367	terima kasih sudah datang untuk mendapatkan saya.	hal yang pasti.
29374	kami menyimpannya.	Anda menyimpannya.
29379	dua kokas.	baik . terima kasih.
29380	apapun untuk diminum ?	dua kokas.
29408	Mari makan siang !	righto!
29409	bukan untuk saya .	Mari makan siang !
29410	tidak perlu terburu-buru! balapan berakhir!	bukan untuk saya .
29424	Doberman tidak berbicara.	apa ?
29429	telanjang! ?	telanjang.
29431	tidak sadar! itu adalah barang fiksi ilmiah!	bukan tempat kami beroperasi.
29442	dia menginginkan kelenjar pineal.	benarkah?
29443	tidak sadar! bukan jurusan.	dia menginginkan kelenjar pineal.
29457	ya Tuhan ! . . .	ini cucuku. . .
29458	itu kombinasi yang bagus. kamu tidak boleh kalah.	ya Tuhan ! . . .
29459	aku tahu . Saya seorang scorpio triple.	itu kombinasi yang bagus. kamu tidak boleh kalah.
29462	darimana datangnya comin, anak muda?	Las Vegas
29476	Bandara ada di sana!	belum pernah ketinggalan pesawat.
29500	beberapa dari apa?	ekstrak pineal!
29506	dari mana kamu mendapatkan ini?	tidak apa-apa, itu benar-benar murni.
29518	tidak, dia mencarimu.	saya ?
29519	lucy mencarimu.	tidak, dia mencarimu.
29568	rencana ?	lucy.
29586	yesus	lakukan ! saya ingin lebih tinggi!
29587	omong kosong! jangan membuat saya menggunakan ini.	yesus
29593	bagaimana dengan cek?	apa yang benar.
29634	pergi?	iya nih . meninggalkan negara. malam ini
29636	tidak banyak . kenapa?	saya harus pergi .
29653	kenapa?	Kenapa Apa ?
29688	dimana obatnya?	obat ? ya, ada di sini.
29733	bisakah saya memiliki itu, tolong?	kenapa tidak ? itu menjadi hangat pula.
29735	bolehkah saya melihat lisensi Anda.	tentu saja, petugas.
29752	Anda membunuhnya!	mereka akan masuk! kita semua akan mati!
29758	itu melayani Anda dengan benar. kamu curang brengsek.	Ampuni aku.
29761	maaf, tidak bermaksud menakutimu.	dimana semua orang ?
29763	kemana kalian pergi?	kita akan mendapatkan gadis kecilku.
29766	um, ya, tiga puluh mil ke timur.	kita akan bertemu dalam 3 jam?
29767	kamu tahu di mana itu?	um, ya, tiga puluh mil ke timur.
29774	aku tidak akan mati karena dia!	jangan bodoh, jatuhkan pistol!
29776	hati-hati.	saya katakan, saya tidak melihat apa-apa -
29781	aku tidak berpikir kamu harus. . .	dengan apa yang baru saja terjadi di lantai atas -
29785	yah, itu tidak terlihat cantik.	tapi punya gigi.
29789	apakah ada pistol yang menunjuk pada Anda?	nah, aku punya pistolnya.
29791	Apakah sudah jelas ? !	ya
29797	siapa yang akan kamu panggil?	siapa saja.
29807	apa?	Buka pintunya !
29813	dimana itu ?	lantai atas.
29814	saya pikir saya tahu di mana cb adalah.	dimana itu ?
29822	kami hanya mengolesi sigung.	Sial!
29825	ikuti aku .	dimana terowongannya?
29826	kamu semua yakin tentang ini?	ikuti aku .
29837	yesus kristus, aku akan mengalami stroke.	mudah .
29844	dan itulah bagaimana saya berakhir di sini.	dan kepala?
29846	dan sisanya?	sayangnya, yang terburuk dari mereka masih di luar.
29853	ohhh .	apa ?
29858	takut?	tidak . kamu ?
29860	bercinta denganmu juga.	berbarislah di barisan !
29863	sekarang apa, geronimo?	truk saya.
29865	Ayolah !	dia meninggal .
29867	kami lebih baik.	siapa dengan saya?
29874	kamu tidak membantu.	pergi douche.
29875	lagi ide planet binatang?	kamu tidak membantu.
29877	kenapa kamu tidak memeriksanya?	jangan bercinta.
29880	orang tuamu dari hubungan?	kami tinggal di dekat jaringan listrik.
29881	ya.	orang tuamu dari hubungan?
29895	kita harus dekat.	apa ?
29897	kita harus mencoba.	orang lain ?
29898	kita akan mendapat bantuan.	kita harus mencoba.
29900	aku masuk	siapa lagi?
29905	berapa banyak yang saya dapat, apa?	berapa banyak yang kamu dapat untuk melihat pertunjukan?
29906	berapa banyak yang kamu dapat ?	berapa banyak yang saya dapat, apa?
29907	yakin .	berapa banyak yang kamu dapat ?
29908	kamu ingin lihat, sayang?	yakin .
29910	um-hmmm .	irama gadis itu.
29912	tidakkah kakimu sakit?	aku tidak bisa merasakan apa-apa, sayang.
29914	itu jauh lebih aman di sana, manis.	Baiklah kalau begitu .
29915	tapi -	itu jauh lebih aman di sana, manis.
29924	ramuan ajaib. Anda harus mencoba sedikit.	Oh tidak .
29925	apa ini ?	ramuan ajaib. Anda harus mencoba sedikit.
29926	beri aku beberapa sendok di lidah.	apa ini ?
29927	oh .	beri aku beberapa sendok di lidah.
29928	dorong dan putar, itu adalah bukti anak.	oh .
29930	bagaimana kabarmu?	baiklah. . .
29935	tujuh.	kunci.
29936	sembilan?	tujuh.
29938	maks?	tujuh.
29939	memegang empat.	maks?
29940	berapa banyak ?	memegang empat.
29941	tertutupi .	berapa banyak ?
29945	sepenuhnya.	empat pintu?
29946	apakah itu digas?	sepenuhnya.
29950	apa yang terjadi antara kalian berdua?	tidak ada .
29951	huh ?	apa yang terjadi antara kalian berdua?
29952	apa maksudmu apa?	huh ?
29953	apa ?	apa maksudmu apa?
29954	apa ?	apa ?
29963	huh ?	dia menembakmu di lain waktu.
29964	dia hanya menembakmu sekali.	huh ?
29969	dia meninggal .	apa ?
29970	yah, dimana sonuvabitch! ?	dia meninggal .
29971	suami saya . . .	yah, dimana sonuvabitch! ?
29983	apa itu ! ? apa yang kamu katakan? ya?	keluar dari sini .
29987	keparat pintar.	apa yang sedang terjadi di sini! ?
29989	omong kosong.	tidak ada omong kosong.
29993	mereka ada di mana-mana.	kamu bau seperti keledai!
29995	Selamat datang kembali .	f-f-fuck kamu.
30001	Ayolah !	hellllllllp! !
30003	Sial.	gerakkan pantatmu!
30009	Sial!	saya baik-baik saja ! saya baik-baik saja !
30012	tidak ada apa-apa.	memindahkannya!
30013	bergerak lambat dan bergerak tenang.	tidak ada apa-apa.
30020	tidak, tetapi saya akan mengunci Anda.	apa ?
30021	berikan kuncinya.	tidak, tetapi saya akan mengunci Anda.
30022	baik, kepala.	berikan kuncinya.
30024	'eh, kepala?	duh cupang.
30026	mendapat 'cha!	pegang erat-erat!
30028	oh jesus !	helllppp!
30030	Apakah saya terlalu berat untuk Anda?	jangan khawatir, Anda akan seperti papoose kecil saya.
30042	ya, aku akan pergi.	baik . Mari lihat apa yang terjadi .
30050	mari kita tunggu saja.	mereka akan menghancurkan tempat ini dalam waktu satu jam.
